MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
12/30/2021 11:26:25,1.11.0,Free_feed,2,3.9,3,0,Pellet,Left,0,0,1,0,,,,0 days 00:00:00.000000000,1,,0,0,,0,Free_feed
12/30/2021 11:26:39,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,0,2,0,7.09,14,,0 days 00:00:14.000000000,1,,0,0,,0,Free_feed
12/30/2021 11:26:50,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,0,3,0,4.08,11,,0 days 00:00:25.000000000,1,0.183333333,0,0,,0,Free_feed
12/30/2021 11:27:08,1.11.0,Free_feed,2,3.9,2,0,Pellet,Left,0,0,4,0,9.55,18,,0 days 00:00:43.000000000,1,0.3,0,0,,0,Free_feed
12/30/2021 11:27:17,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,0,5,0,2.17,9,,0 days 00:00:52.000000000,1,0.15,0,0,,0,Free_feed
12/30/2021 11:27:30,1.11.0,Free_feed,2,3.89,3,0,Pellet,Left,0,0,6,0,2.11,13,,0 days 00:01:05.000000000,1,0.216666667,0,0,,0,Free_feed
12/30/2021 11:27:42,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,0,7,0,5.04,11,,0 days 00:01:17.000000000,1,0.2,0,0,,0,Free_feed
12/30/2021 11:27:55,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,0,8,0,6.13,14,,0 days 00:01:30.000000000,1,0.216666667,0,0,,0,Free_feed
12/30/2021 11:28:07,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,0,9,0,5.72,12,,0 days 00:01:42.000000000,1,0.2,0,0,,0,Free_feed
12/30/2021 11:28:26,1.11.0,Free_feed,2,3.89,3,0,Pellet,Left,0,0,10,0,7.64,19,,0 days 00:02:01.000000000,1,0.316666667,0,0,,0,Free_feed
12/30/2021 11:30:03,1.11.0,Free_feed,2,3.9,1,0,Poke,Left,0,1,10,0,,,0.36,0 days 00:03:38.000000000,0,,0,1,0,0,Free_feed
12/30/2021 11:30:05,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,1,11,0,,99,,0 days 00:03:40.000000000,1,1.65,0,0,,0,Free_feed
12/30/2021 11:31:10,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,1,12,0,58.71,65,,0 days 00:04:45.000000000,1,1.083333333,0,0,,0,Free_feed
12/30/2021 11:31:23,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,1,13,0,6.13,13,,0 days 00:04:58.000000000,1,0.216666667,0,0,,0,Free_feed
12/30/2021 12:05:32,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,1,14,0,,2048,,0 days 00:39:07.000000000,1,34.15,0,0,,0,Free_feed
12/30/2021 12:05:43,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,1,15,0,5.11,12,,0 days 00:39:18.000000000,1,0.183333333,0,0,,0,Free_feed
12/30/2021 12:05:59,1.11.0,Free_feed,2,3.9,2,0,Pellet,Left,0,1,16,0,12.63,16,,0 days 00:39:34.000000000,1,0.266666667,0,0,,0,Free_feed
12/30/2021 12:06:12,1.11.0,Free_feed,2,3.9,4,0,Pellet,Left,0,1,17,0,0.06,13,,0 days 00:39:47.000000000,1,0.216666667,0,0,,0,Free_feed
12/30/2021 12:07:04,1.11.0,Free_feed,2,3.9,6,0,Pellet,Left,0,1,18,0,34.68,52,,0 days 00:40:39.000000000,1,0.866666667,0,0,,0,Free_feed
12/30/2021 12:07:16,1.11.0,Free_feed,2,3.9,2,0,Pellet,Left,0,1,19,0,4.97,12,,0 days 00:40:51.000000000,1,0.2,0,0,,0,Free_feed
12/30/2021 12:07:29,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,20,0,5.86,13,,0 days 00:41:04.000000000,1,0.216666667,0,0,,0,Free_feed
12/30/2021 12:07:43,1.11.0,Free_feed,2,3.89,2,0,Pellet,Left,0,1,21,0,4.97,14,,0 days 00:41:18.000000000,1,0.233333333,0,0,,0,Free_feed
12/30/2021 12:28:27,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,1,22,0,,1244,,0 days 01:02:02.000000000,1,20.73333333,0,0,,0,Free_feed
12/30/2021 12:28:37,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,1,23,0,9.15,10,,0 days 01:02:12.000000000,1,0.166666667,0,0,,0,Free_feed
12/30/2021 12:28:51,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,1,24,0,6.68,13,,0 days 01:02:26.000000000,1,0.233333333,0,0,,0,Free_feed
12/30/2021 12:29:04,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,25,0,7.37,14,,0 days 01:02:39.000000000,1,0.216666667,0,0,,0,Free_feed
12/30/2021 12:29:20,1.11.0,Free_feed,2,3.9,2,0,Pellet,Left,0,1,26,0,6.82,16,,0 days 01:02:55.000000000,1,0.266666667,0,0,,0,Free_feed
12/30/2021 12:29:40,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,27,0,13.52,20,,0 days 01:03:15.000000000,1,0.333333333,0,0,,0,Free_feed
12/30/2021 12:29:59,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,28,0,12.02,19,,0 days 01:03:34.000000000,1,0.316666667,0,0,,0,Free_feed
12/30/2021 12:30:12,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,29,0,6.07,13,,0 days 01:03:47.000000000,1,0.216666667,0,0,,0,Free_feed
12/30/2021 12:42:28,1.11.0,Free_feed,2,3.9,2,0,Pellet,Left,0,1,30,0,,736,,0 days 01:16:03.000000000,1,12.26666667,0,0,,0,Free_feed
12/30/2021 12:42:37,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,1,31,0,2.11,9,,0 days 01:16:12.000000000,1,0.15,0,0,,0,Free_feed
12/30/2021 12:42:50,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,1,32,0,5.86,13,,0 days 01:16:25.000000000,1,0.216666667,0,0,,0,Free_feed
12/30/2021 12:49:01,1.11.0,Free_feed,2,3.91,1,0,Pellet,Left,0,1,33,0,,371,,0 days 01:22:36.000000000,1,6.183333333,0,0,,0,Free_feed
12/30/2021 12:49:13,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,34,0,5.45,12,,0 days 01:22:48.000000000,1,0.2,0,0,,0,Free_feed
12/30/2021 12:49:29,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,1,35,0,9.48,16,,0 days 01:23:04.000000000,1,0.266666667,0,0,,0,Free_feed
12/30/2021 13:23:26,1.11.0,Free_feed,2,3.9,3,0,Pellet,Left,0,1,36,0,,2037,,0 days 01:57:01.000000000,1,33.95,0,0,,0,Free_feed
12/30/2021 13:23:36,1.11.0,Free_feed,2,3.89,3,0,Pellet,Left,0,1,37,0,4.02,10,,0 days 01:57:11.000000000,1,0.166666667,0,0,,0,Free_feed
12/30/2021 13:23:50,1.11.0,Free_feed,2,3.9,2,0,Pellet,Left,0,1,38,0,5.32,14,,0 days 01:57:25.000000000,1,0.233333333,0,0,,0,Free_feed
12/30/2021 13:24:04,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,39,0,7.5,14,,0 days 01:57:39.000000000,1,0.233333333,0,0,,0,Free_feed
12/30/2021 13:24:21,1.11.0,Free_feed,2,3.89,2,0,Pellet,Left,0,1,40,0,10.3,16,,0 days 01:57:56.000000000,1,0.283333333,0,0,,0,Free_feed
12/30/2021 13:24:39,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,41,0,11.53,18,,0 days 01:58:14.000000000,1,0.3,0,0,,0,Free_feed
12/30/2021 13:25:00,1.11.0,Free_feed,2,3.89,2,0,Pellet,Left,0,1,42,0,14.27,21,,0 days 01:58:35.000000000,1,0.35,0,0,,0,Free_feed
12/30/2021 13:25:14,1.11.0,Free_feed,2,3.89,2,0,Pellet,Left,0,1,43,0,6.27,15,,0 days 01:58:49.000000000,1,0.233333333,0,0,,0,Free_feed
12/30/2021 13:25:34,1.11.0,Free_feed,2,3.89,2,0,Pellet,Left,0,1,44,0,10.44,20,,0 days 01:59:09.000000000,1,0.333333333,0,0,,0,Free_feed
12/30/2021 13:26:19,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,45,0,39.35,45,,0 days 01:59:54.000000000,1,0.75,0,0,,0,Free_feed
12/30/2021 13:48:05,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,46,0,,1306,,0 days 02:21:40.000000000,1,21.76666667,0,0,,0,Free_feed
12/30/2021 13:48:15,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,1,47,0,2.79,10,,0 days 02:21:50.000000000,1,0.166666667,0,0,,0,Free_feed
12/30/2021 13:48:30,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,48,0,7.57,15,,0 days 02:22:05.000000000,1,0.25,0,0,,0,Free_feed
12/30/2021 13:48:43,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,1,49,0,6.75,13,,0 days 02:22:18.000000000,1,0.216666667,0,0,,0,Free_feed
12/30/2021 13:48:59,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,50,0,9.69,16,,0 days 02:22:34.000000000,1,0.266666667,0,0,,0,Free_feed
12/30/2021 13:49:16,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,51,0,10.58,17,,0 days 02:22:51.000000000,1,0.283333333,0,0,,0,Free_feed
12/30/2021 13:49:32,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,52,0,9.41,16,,0 days 02:23:07.000000000,1,0.266666667,0,0,,0,Free_feed
12/30/2021 14:10:51,1.11.0,Free_feed,2,3.9,1,0,Pellet,Left,0,1,53,0,,1278,,0 days 02:44:26.000000000,1,21.31666667,0,0,,0,Free_feed
12/30/2021 14:11:01,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,54,0,3.2,10,,0 days 02:44:36.000000000,1,0.166666667,0,0,,0,Free_feed
12/30/2021 14:11:18,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,55,0,10.43,18,,0 days 02:44:53.000000000,1,0.283333333,0,0,,0,Free_feed
12/30/2021 14:11:39,1.11.0,Free_feed,2,3.89,2,0,Pellet,Left,0,1,56,0,12.69,21,,0 days 02:45:14.000000000,1,0.35,0,0,,0,Free_feed
12/30/2021 14:23:54,1.11.0,Free_feed,2,3.89,2,0,Pellet,Left,0,1,57,0,,735,,0 days 02:57:29.000000000,1,12.25,0,0,,0,Free_feed
12/30/2021 14:24:08,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,58,0,6.2,14,,0 days 02:57:43.000000000,1,0.233333333,0,0,,0,Free_feed
12/30/2021 14:24:20,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,59,0,5.32,12,,0 days 02:57:55.000000000,1,0.2,0,0,,0,Free_feed
12/30/2021 14:24:33,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,60,0,6.82,13,,0 days 02:58:08.000000000,1,0.216666667,0,0,,0,Free_feed
12/30/2021 14:55:56,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,61,0,,1883,,0 days 03:29:31.000000000,1,31.38333333,0,0,,0,Free_feed
12/30/2021 15:04:22,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,62,0,,506,,0 days 03:37:57.000000000,1,8.433333333,0,0,,0,Free_feed
12/30/2021 15:04:32,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,63,0,3.13,10,,0 days 03:38:07.000000000,1,0.166666667,0,0,,0,Free_feed
12/30/2021 15:04:50,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,64,0,11.54,18,,0 days 03:38:25.000000000,1,0.3,0,0,,0,Free_feed
12/30/2021 16:26:09,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,65,0,,4879,,0 days 04:59:44.000000000,1,81.31666667,0,0,,0,Free_feed
12/30/2021 16:26:19,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,66,0,2.52,9,,0 days 04:59:54.000000000,1,0.166666667,0,0,,0,Free_feed
12/30/2021 16:26:41,1.11.0,Free_feed,2,3.89,2,0,Pellet,Left,0,1,67,0,14.14,23,,0 days 05:00:16.000000000,1,0.366666667,0,0,,0,Free_feed
12/30/2021 16:26:58,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,68,0,10.1,17,,0 days 05:00:33.000000000,1,0.283333333,0,0,,0,Free_feed
12/30/2021 16:27:27,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,69,0,26.96,28,,0 days 05:01:02.000000000,1,0.483333333,0,0,,0,Free_feed
12/30/2021 16:36:54,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,70,0,,568,,0 days 05:10:29.000000000,1,9.45,0,0,,0,Free_feed
12/30/2021 17:04:02,1.11.0,Free_feed,2,3.89,4,0,Pellet,Left,0,1,71,0,,1628,,0 days 05:37:37.000000000,1,27.13333333,0,0,,0,Free_feed
12/30/2021 17:04:10,1.11.0,Free_feed,2,3.89,2,0,Pellet,Left,0,1,72,0,0.88,8,,0 days 05:37:45.000000000,1,0.133333333,0,0,,0,Free_feed
12/30/2021 17:04:52,1.11.0,Free_feed,2,3.89,2,0,Pellet,Left,0,1,73,0,34.41,42,,0 days 05:38:27.000000000,1,0.7,0,0,,0,Free_feed
12/30/2021 17:05:14,1.11.0,Free_feed,2,3.89,2,0,Pellet,Left,0,1,74,0,14.2,22,,0 days 05:38:49.000000000,1,0.366666667,0,0,,0,Free_feed
12/30/2021 17:05:34,1.11.0,Free_feed,2,3.89,2,0,Pellet,Left,0,1,75,0,10.57,20,,0 days 05:39:09.000000000,1,0.333333333,0,0,,0,Free_feed
12/30/2021 18:00:50,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,76,0,,3316,,0 days 06:34:25.000000000,1,55.26666667,0,0,,0,Free_feed
12/30/2021 18:01:01,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,77,0,4.97,11,,0 days 06:34:36.000000000,1,0.183333333,0,0,,0,Free_feed
12/30/2021 18:01:25,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,78,0,16.11,24,,0 days 06:35:00.000000000,1,0.4,0,0,,0,Free_feed
12/30/2021 18:30:24,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,79,0,,1739,,0 days 07:03:59.000000000,1,28.98333333,0,0,,0,Free_feed
12/30/2021 18:30:53,1.11.0,Free_feed,2,3.88,1,0,Pellet,Left,0,1,80,0,21.94,29,,0 days 07:04:28.000000000,1,0.483333333,0,0,,0,Free_feed
12/30/2021 18:31:10,1.11.0,Free_feed,2,3.88,1,0,Pellet,Left,0,1,81,0,10.51,17,,0 days 07:04:45.000000000,1,0.283333333,0,0,,0,Free_feed
12/30/2021 18:31:28,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,82,0,11.6,18,,0 days 07:05:03.000000000,1,0.3,0,0,,0,Free_feed
12/30/2021 18:32:30,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,0,1,83,0,55.67,62,,0 days 07:06:05.000000000,1,1.033333333,0,0,,0,Free_feed
12/30/2021 18:41:51,1.11.0,Free_feed,2,3.89,1,0,Poke,Left,1,1,83,0,,,0.02,0 days 07:15:26.000000000,0,,1,0,1,0,Free_feed
12/30/2021 19:15:02,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,1,1,84,0,,2552,,0 days 07:48:37.000000000,1,42.53333333,0,0,,0,Free_feed
12/30/2021 19:15:10,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,1,1,85,0,1.02,8,,0 days 07:48:45.000000000,1,0.133333333,0,0,,0,Free_feed
12/30/2021 19:15:11,1.11.0,Free_feed,2,3.88,1,0,Pellet,Left,1,1,86,0,0.06,1,,0 days 07:48:46.000000000,1,0.016666667,0,0,,0,Free_feed
12/30/2021 19:15:27,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,1,1,87,0,9.62,16,,0 days 07:49:02.000000000,1,0.266666667,0,0,,0,Free_feed
12/30/2021 19:15:47,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,1,1,88,0,17.97,20,,0 days 07:49:22.000000000,1,0.333333333,0,0,,0,Free_feed
12/30/2021 19:16:01,1.11.0,Free_feed,2,3.88,1,0,Pellet,Left,1,1,89,0,7.37,14,,0 days 07:49:36.000000000,1,0.233333333,0,0,,0,Free_feed
12/30/2021 19:16:22,1.11.0,Free_feed,2,3.89,1,0,Pellet,Left,1,1,90,0,14.27,21,,0 days 07:49:57.000000000,1,0.35,0,0,,0,Free_feed
