MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
12/23/2021 11:22:06,1.11.0,Free_feed,6,3.95,3,0,Pellet,Left,0,0,1,0,10.98,,,0 days 00:00:00.000000000,1,,0,0,,0,Free_feed
12/23/2021 11:22:14,1.11.0,Free_feed,6,3.95,1,0,Pellet,Left,0,0,2,0,0.34,8,,0 days 00:00:08.000000000,1,,0,0,,0,Free_feed
12/23/2021 11:24:35,1.11.0,Free_feed,6,3.96,1,0,Poke,Left,0,1,2,0,,,0.58,0 days 00:02:29.000000000,0,,0,1,0,0,Free_feed
12/23/2021 11:24:56,1.11.0,Free_feed,6,3.95,1,0,Pellet,Left,0,1,3,0,,162,,0 days 00:02:50.000000000,1,2.7,0,0,,0,Free_feed
12/23/2021 11:24:57,1.11.0,Free_feed,6,3.95,1,0,Pellet,Left,0,1,4,0,0.13,1,,0 days 00:02:51.000000000,1,0.016666667,0,0,,0,Free_feed
12/23/2021 14:13:40,1.11.0,Free_feed,6,3.94,1,0,Poke,Left,1,1,4,0,,,0.04,0 days 02:51:34.000000000,0,,1,0,1,0,Free_feed
12/23/2021 14:13:45,1.11.0,Free_feed,6,3.94,1,0,Pellet,Left,1,1,5,0,,10128,,0 days 02:51:39.000000000,1,168.8,0,0,,0,Free_feed
12/23/2021 14:14:07,1.11.0,Free_feed,6,3.94,1,0,Pellet,Left,1,1,6,0,15.35,22,,0 days 02:52:01.000000000,1,0.366666667,0,0,,0,Free_feed
12/23/2021 14:14:07,1.11.0,Free_feed,6,3.94,1,0,Pellet,Left,1,1,7,0,0.06,0,,0 days 02:52:01.000000000,1,0,0,0,,0,Free_feed
12/23/2021 14:14:15,1.11.0,Free_feed,6,3.94,1,0,Pellet,Left,1,1,8,0,0.47,8,,0 days 02:52:09.000000000,1,0.133333333,0,0,,0,Free_feed
12/23/2021 14:14:29,1.11.0,Free_feed,6,3.94,1,0,Pellet,Left,1,1,9,0,8.18,14,,0 days 02:52:23.000000000,1,0.233333333,0,0,,0,Free_feed
12/23/2021 14:14:35,1.11.0,Free_feed,6,3.94,1,0,Poke,Left,1,2,9,0,,,0.02,0 days 02:52:29.000000000,0,,0,1,0,0,Free_feed
12/23/2021 14:14:36,1.11.0,Free_feed,6,3.94,1,0,Poke,Left,1,3,9,0,,,0.98,0 days 02:52:30.000000000,0,,0,1,0,0,Free_feed
12/23/2021 14:14:37,1.11.0,Free_feed,6,3.94,1,0,Pellet,Left,1,3,10,0,2.75,8,,0 days 02:52:31.000000000,1,0.133333333,0,0,,0,Free_feed
12/23/2021 14:14:45,1.11.0,Free_feed,6,3.94,2,0,Pellet,Left,1,3,11,0,0.06,8,,0 days 02:52:39.000000000,1,0.133333333,0,0,,0,Free_feed
12/23/2021 14:14:57,1.11.0,Free_feed,6,3.94,1,0,Pellet,Left,1,3,12,0,5.93,12,,0 days 02:52:51.000000000,1,0.2,0,0,,0,Free_feed
12/23/2021 14:15:07,1.11.0,Free_feed,6,3.94,1,0,Pellet,Left,1,3,13,0,8.66,10,,0 days 02:53:01.000000000,1,0.166666667,0,0,,0,Free_feed
12/23/2021 14:15:15,1.11.0,Free_feed,6,3.94,1,0,Pellet,Left,1,3,14,0,0.34,8,,0 days 02:53:09.000000000,1,0.133333333,0,0,,0,Free_feed
12/23/2021 14:15:16,1.11.0,Free_feed,6,3.94,1,0,Pellet,Left,1,3,15,0,0.2,1,,0 days 02:53:10.000000000,1,0.016666667,0,0,,0,Free_feed
12/23/2021 14:15:36,1.11.0,Free_feed,6,3.95,1,0,Poke,Left,2,3,15,0,,,0.52,0 days 02:53:30.000000000,0,,1,0,1,0,Free_feed
12/23/2021 14:15:42,1.11.0,Free_feed,6,3.94,1,0,Pellet,Left,2,3,16,0,19.6,26,,0 days 02:53:36.000000000,1,0.433333333,0,0,,0,Free_feed
