MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
12/17/2021 13:48:26,1.11.0,Free_feed,6,3.83,3,0,Poke,Left,1,0,0,0,,,0.16,0 days 00:00:00.000000000,0,,1,0,1,0,Free_feed
12/17/2021 13:49:26,1.11.0,Free_feed,6,3.83,3,0,Poke,Left,1,1,0,0,,,0.15,0 days 00:01:00.000000000,0,,0,1,0,0,Free_feed
12/17/2021 13:52:34,1.11.0,Free_feed,6,3.83,3,0,Poke,Left,1,2,0,0,,,0.77,0 days 00:04:08.000000000,0,,0,1,0,0,Free_feed
12/17/2021 13:56:04,1.11.0,Free_feed,6,3.83,3,0,Poke,Left,2,2,0,0,,,0.02,0 days 00:07:38.000000000,0,,1,0,1,0,Free_feed
12/17/2021 13:56:09,1.11.0,Free_feed,6,3.83,3,0,Poke,Left,3,2,0,0,,,0.61,0 days 00:07:43.000000000,0,,1,0,1,0,Free_feed
12/17/2021 13:58:56,1.11.0,Free_feed,6,3.83,3,0,Pellet,Left,3,2,1,0,,,,0 days 00:10:30.000000000,1,,0,0,,0,Free_feed
12/17/2021 13:59:07,1.11.0,Free_feed,6,3.82,1,0,Poke,Left,4,2,1,0,,,0.07,0 days 00:10:41.000000000,0,,1,0,1,0,Free_feed
12/17/2021 13:59:07,1.11.0,Free_feed,6,3.83,1,0,Poke,Left,5,2,1,0,,,0.43,0 days 00:10:41.000000000,0,,1,0,1,0,Free_feed
12/17/2021 13:59:10,1.11.0,Free_feed,6,3.83,1,0,Poke,Left,6,2,1,0,,,1.7,0 days 00:10:44.000000000,0,,1,0,1,0,Free_feed
12/17/2021 13:59:10,1.11.0,Free_feed,6,3.83,1,0,Poke,Left,7,2,1,0,,,0.6,0 days 00:10:44.000000000,0,,1,0,1,0,Free_feed
12/17/2021 13:59:11,1.11.0,Free_feed,6,3.83,1,0,Poke,Left,8,2,1,0,,,0.01,0 days 00:10:45.000000000,0,,1,0,1,0,Free_feed
12/17/2021 13:59:12,1.11.0,Free_feed,6,3.83,1,0,Poke,Left,9,2,1,0,,,0.74,0 days 00:10:46.000000000,0,,1,0,1,0,Free_feed
12/17/2021 13:59:13,1.11.0,Free_feed,6,3.83,1,0,Poke,Left,10,2,1,0,,,0.7,0 days 00:10:47.000000000,0,,1,0,1,0,Free_feed
12/17/2021 13:59:14,1.11.0,Free_feed,6,3.83,1,0,Poke,Left,11,2,1,0,,,0.03,0 days 00:10:48.000000000,0,,1,0,1,0,Free_feed
12/17/2021 13:59:16,1.11.0,Free_feed,6,3.83,1,0,Poke,Left,12,2,1,0,,,1.36,0 days 00:10:50.000000000,0,,1,0,1,0,Free_feed
